 -1106, -3828, 1098,
 -1168, -3676, 814,
 -1296, -3828, 424,
 -1336, -3818, 180,
 -1336, -3896, 196,
 -1260, -3920, 588,
 -1268, -3884, 752,
 -1140, -3832, 916,
 -1050, -3672, 1400,
 -898, -3272, 1922,
 -592, -3084, 2504,
 -396, -2480, 3240,
 -264, -1992, 3478,
 -280, -1824, 4104,
 608, -1100, 4008,
 552, -696, 4224,
 980, 308, 5190,
 970, 334, 4456,
 826, 900, 4130,
 664, 160, 4152,
 712, 262, 4184,
 712, 206, 3988,
 866, 740, 4124,
 752, 274, 4238,
 232, -414, 4302,
 588, -252, 4328,
 452, -172, 4380,
 -184, -1042, 4040,
 146, -1294, 3904,
 -248, -1996, 3698,
 -576, -2294, 3246,
 -712, -2812, 2662,
 -1170, -3228, 2216,
 -1160, -3386, 1788,
 -1114, -3504, 1492,
 -1096, -3756, 1170,
 -1180, -3752, 670,
 -1186, -3844, 412,
 -1216, -3858, 296,
 -1314, -3844, 310,
 -1204, -3794, 546,
 -1128, -3780, 876,
 -1156, -3696, 1176,
 -972, -3612, 1386,
 -836, -3496, 1792,
 -532, -3360, 2210,
 -368, -3056, 2616,
 -328, -2536, 2914,
 -334, -2356, 3872,
 -202, -1572, 3868,
 60, -1252, 4124,
 264, -776, 4264,
 1124, -272, 4508,
 1292, 758, 4996,
 818, -336, 4086,
 568, 436, 4004,
 832, 808, 4264,
 952, 436, 4130,
 812, 286, 4164,
 840, 780, 4258,
 960, 152, 4656,
 422, -134, 4634,
 -388, -112, 4638,
 -128, -760, 4122,
 -244, -1332, 3980,
 -2, -1556, 3728,
 -478, -2096, 3456,
 -584, -2768, 3000,
 -584, -3032, 2564,
 -900, -3348, 2000,
 -956, -3640, 1460,
 -1174, -3712, 844,
 -1276, -3964, 654,
 -1228, -3860, 430,
 -1372, -3892, 308,
 -1312, -3848, 352,
 -1356, -3712, 740,
 -1192, -3768, 1116,
 -1188, -3782, 1292,
 -884, -3412, 1908,
 -712, -3140, 2328,
 -400, -2920, 2828,
 -420, -2566, 3192,
 -252, -1976, 3660,
 -72, -1680, 3708,
 300, -492, 4034,
 328, -496, 4428,
 698, 70, 4234,
 1104, 300, 4204,
 976, 406, 4276,
 966, 504, 4232,
 832, 576, 4130,
 760, 452, 4052,
 864, 392, 4280,
 948, 706, 4030,
 872, 652, 4272,
 940, 324, 4180,
 840, -180, 4440,
 668, 554, 4216,
 192, -440, 4246,
 -486, -1102, 4892,
 -8, -1604, 3504,
 -416, -2100, 3516,
 -584, -2550, 2978,
 -988, -3008, 2688,
 -966, -3314, 2088,
 -1106, -3416, 1404,
 -1188, -3840, 596,
 -1280, -3848, 76,
 -1292, -3888, 54,
 -1260, -3798, 136,
 -1316, -3802, 210,
 -1308, -3790, 400,
 -1280, -3746, 722,
 -1208, -3672, 1062,
 -1024, -3520, 1404,
 -826, -3416, 2064,
 -448, -3012, 2444,
 -486, -2162, 3332,
 -240, -1602, 3732,
 -52, -924, 3656,
 44, -308, 4272,
 686, 278, 4914,
 608, 328, 4232,
 944, 84, 4220,
 1032, 284, 4160,
 820, 484, 4230,
 868, 656, 4164,
 694, 508, 4060,
 694, 486, 4172,
 928, 712, 3918,
 652, 440, 4388,
 142, -338, 4668,
 192, -74, 4466,
 -262, -138, 4646,
 208, -892, 4134,
 -202, -1394, 4096,
 -134, -1666, 3940,
 -336, -2102, 3478,
 -490, -2592, 3078,
 -876, -3166, 2344,
 -576, -3384, 1802,
 -948, -3556, 968,
 -1248, -3912, 66,
 -1114, -3928, -76,
 -1148, -3870, -136,
 -1080, -3868, 136,
 -1092, -3916, 320,
 -1072, -3824, 464,
 -1042, -3776, 968,
